acida	[Methyloacida]
toga	"Candidatus Nitrotoga"
toga	Oceanotoga
toga	Petrotoga
toga	Tepiditoga
toga	Thermotoga
tomix	Crocinitomix
tomix	Sediminitomix
trophica	Aerophototrophica
tunica	Thermotunica
vallis	Victivallis
venus	Halovenus
venus	Salinivenus
virga	Abyssivirga
virga	Aestuariivirga
virga	"Algivirga"
virga	Arenivirga
virga	Aurantivirga
virga	Aureivirga
virga	Caldanaerovirga
virga	Caldivirga
virga	Carboxylicivirga
virga	Chiayiivirga
virga	Croceivirga
virga	Curvivirga
virga	Desulfovirga
virga	"Edaphovirga"
virga	Enterovirga
virga	Fabivirga
virga	"Fibrivirga"
virga	Flammeovirga
virga	Flavivirga
virga	Flexivirga
virga	Fulvivirga
virga	Hydrogenivirga
virga	Limnovirga
virga	Longivirga
virga	Luteivirga
virga	Mangrovivirga
virga	Marinivirga
virga	Marivirga
virga	Microvirga
virga	Natranaerovirga
virga	Natronovirga
virga	Negadavirga
virga	Oceanivirga
virga	"Ochrovirga"
virga	Pelagivirga
virga	"Pelovirga"
virga	Persicivirga
virga	Roseivirga
virga	Rubrivirga
virga	Salinivirga
virga	Salinivirga
virga	Sediminivirga
virga	Siansivirga
virga	Spongiivirga
virga	Sulfurivirga
virga	Thermovirga
virga	Thiovirga
virga	Xanthovirga
virga	Xylanivirga
virgula	Anaerovirgula
virgula	Desulfovirgula
virgula	Methylovirgula
virgula	Microvirgula
vita	Aequorivita
vita	Aestuariivita
vita	Allosediminivita
vita	Litorivita
vita	Marivita
-vora (vora)	Melaminivora
