acinum	Desulfacinum
glomus	Graviglomus
glomus	Haloglomus
gonium	Agonium
gonium	Allogonium
gonium	Heterohormogonium
granulum	Dolosigranulum
granulum	Subdoligranulum
granum	Candidatus Methanogranum
granum	Desulfogranum
granum	Halogranum
granum	Ignavigranum
granum	Salinigranum
granum	Thiogranum
granum (granis)	Cyanogranis
lyticum	Bacteriolyticum
lyticum	Cellulosilyticum
lyticum	Chitinilyticum
lyticum	Lyticum
magnum	Methylomagnum
marinum	Constantimarinum
marinum	Methylomarinum
medium	Candidatus Methanomedium
microbium	"Candidatus Halysiomicrobium" corrig.
microbium	"Candidatus Neomarinimicrobium" corrig.
microbium	"Candidatus Uabimicrobium" corrig.
microbium	Acetomicrobium
microbium	Acidiferrimicrobium
microbium	Acidimicrobium
microbium	Acidithiomicrobium
microbium	Actimicrobium
microbium	Aeromicrobium
microbium	Aestuariimicrobium
microbium	Algorimicrobium
microbium	Alkalimicrobium
microbium	Anaeromicrobium
microbium	Ancalomicrobium
microbium	Angulomicrobium
microbium	Antarcticimicrobium
microbium	Anthropogastromicrobium
microbium	Aquamicrobium
microbium	Arenimicrobium
microbium	Aurantimicrobium
microbium	Brumimicrobium
microbium	Caenimicrobium
microbium	Caldimicrobium
microbium	Calidifontimicrobium
microbium	Candidatus Acidifodinimicrobium
microbium	Candidatus Alysiomicrobium
microbium	Candidatus Anammoximicrobium
microbium	Candidatus Deferrimicrobium
microbium	Candidatus Elulimicrobium
microbium	Candidatus Endomicrobium
microbium	Candidatus Marinimicrobium
microbium	Capillimicrobium
microbium	Casimicrobium
microbium	Cellulosimicrobium
microbium	Charonomicrobium
microbium	Chryseomicrobium
microbium	Citrimicrobium
microbium	Citromicrobium
microbium	Confluentimicrobium
microbium	Croceimicrobium
microbium	Desulfomicrobium
microbium	Dichotomicrobium
microbium	Dissulfurimicrobium
microbium	Elusimicrobium
microbium	Endomicrobium
microbium	Erythromicrobium
microbium	Ferrimicrobium
microbium	Ferromicrobium
microbium	Filomicrobium
microbium	Gaetbulimicrobium
microbium	Gallintestinimicrobium
microbium	Geomicrobium
microbium	Geothermomicrobium
microbium	Haematomicrobium
microbium	Halomicrobium
microbium	Halyseomicrobium
microbium	Heliomicrobium
microbium	Hyphomicrobium
microbium	Inconstantimicrobium
microbium	Kandeliimicrobium
microbium	Lacimicrobium
microbium	Lactimicrobium
microbium	Lentimicrobium
microbium	Litorimicrobium
microbium	Longimicrobium
microbium	Luteimicrobium
microbium	Lysinimicrobium
microbium	Magnetomicrobium
microbium	Marimicrobium
microbium	Marinimicrobium
microbium	Methanomicrobium
microbium	Methylacidimicrobium
