aceticus	Syntrophaceticus
coccus	Defluviicoccus corrig.
coccus	Deinococcus
coccus	Dermacoccus
coccus	Desulfococcus
coccus	Desulfurococcus
coccus	Didymococcus
coccus	Diplococcus
coccus	Doliumcoccus
coccus	Dolosicoccus
coccus	Egicoccus
coccus	Enteractinococcus
coccus	Enterococcus
coccus	Eremococcus
coccus	Exococcus
coccus	Faecalicoccus
coccus	Fervidicoccus
coccus	Floricoccus
coccus	Fluviicoccus
coccus	Frisingicoccus
coccus	Fundicoccus
coccus	Geminicoccus
coccus	Granulicoccus
coccus	Granulosicoccus
coccus	Halalkalicoccus
coccus	Halegenticoccus
coccus	Halococcus
coccus	Halomethanococcus
coccus	Halomicrococcus
coccus	Helcococcus
coccus	Heterocyanococcus
coccus	Humicoccus
coccus	Hyalococcus
coccus	Hydrococcus
coccus	Hyellococcus
coccus	Hyphococcus
coccus	Ignicoccus
coccus	Indiicoccus
coccus	Inmanicoccus
coccus	Innacoccus
coccus	Jeotgalicoccus
coccus	Kineococcus
coccus	Kytococcus
coccus	Lactococcus
coccus	Lacustricoccus
coccus	Lapillicoccus
coccus	Leptococcus
coccus	Libanicoccus
coccus	Lichenicoccus
coccus	Limnococcus
coccus	Lithococcus
coccus	Luteococcus
coccus	Macrococcus
coccus	Magnetococcus
coccus	Magnicoccus
coccus	Mammaliicoccus
coccus	Mangrovicoccus
coccus	Maricoccus
coccus	Mariniluteicoccus
coccus	Marinococcus
coccus	Mediannikoviicoccus
coccus	Melissococcus corrig.
coccus	Meridianimarinicoccus
coccus	Metallococcus
coccus	Methanimicrococcus corrig.
