aceticus	Syntrophaceticus
bacter	Ornithinibacter
bacter	Oryzisolibacter
bacter	Oryzobacter
bacter	Oscillibacter
bacter	Otariodibacter
bacter	"Candidatus Ovatibacter" corrig.
bacter	"Candidatus Ovibacter" corrig.
bacter	"Candidatus Ovobacter"
bacter	Oxalobacter
bacter	Oxobacter
bacter	"Candidatus Ozemibacter" corrig.
bacter	"Candidatus Paceibacter"
bacter	Pacificibacter
bacter	"Pajaroellobacter"
bacter	Paludibacter
bacter	Panacibacter
bacter	Pannonibacter
bacter	Papillibacter
bacter	"Candidatus Paracaedibacter"
bacter	"Candidatus Parcunitrobacter"
bacter	Parvibacter
bacter	Parviterribacter
bacter	Patulibacter
bacter	Paucibacter
bacter	Paucihalobacter
bacter	Pedobacter
bacter	"Candidatus Pelagibacter"
bacter	"Pelagiobacter"
bacter	Pelobacter
bacter	Peptoanaerobacter
bacter	Peredibacter
bacter	Perexilibacter
bacter	"Candidatus Peribacter"
bacter	Permianibacter
bacter	Persicobacter
bacter	Perspicuibacter
bacter	Petrobacter
bacter	Petrothermobacter
bacter	Phaeobacter
bacter	Phaeocystidibacter
bacter	Phaeodactylibacter
bacter	"Candidatus Phaeomarinibacter" corrig.
bacter	"Candidatus Phaeomarinobacter"
bacter	Phaseolibacter
bacter	"Candidatus Phloeobacter" corrig.
bacter	"Candidatus Phlomobacter"
bacter	Phnomibacter
bacter	Phocoenobacter
bacter	"Phoenicibacter"
bacter	"Candidatus Phosphoribacter"
bacter	[Photobacter]
bacter	Phragmitibacter
bacter	Phreatobacter
bacter	Phytobacter
bacter	"Piezobacter"
bacter	"Pigmentibacter"
bacter	Pilibacter
bacter	Pimelobacter
bacter	Pinibacter
bacter	"Pinirhizobacter"
bacter	Pinisolibacter
bacter	Piscinibacter
bacter	Plantibacter
bacter	Pluralibacter
bacter	Pokkaliibacter
bacter	Polaribacter
bacter	"Polycladidibacter"
bacter	Polymorphobacter
bacter	Polynucleobacter
bacter	Pontibacter
bacter	Pontibrevibacter
bacter	Pontixanthobacter
bacter	"Populibacter"
bacter	Porphyrobacter
bacter	Portibacter
bacter	Poseidonibacter
bacter	Povalibacter
bacter	"Prasinibacter"
bacter	Primorskyibacter
bacter	"Candidatus Procabacter"
bacter	"Candidatus Procaibacter" corrig.
bacter	Profundibacter
bacter	Prolixibacter
bacter	Propionibacter
bacter	Prosthecobacter
bacter	Protaetiibacter
bacter	"Protaminobacter"
bacter	"Candidatus Protistibacter" corrig.
bacter	"Candidatus Protistobacter"
bacter	Pseudarcobacter corrig.
bacter	Pseudoarcobacter
bacter	Pseudobacter
bacter	[Pseudogluconobacter]
bacter	Pseudoramibacter
bacter	Psychrobacter
bacter	Psychromarinibacter
bacter	Pulveribacter
bacter	Pusillibacter
bacter	Puteibacter
bacter	Putridiphycobacter
bacter	"Pygmaiobacter"
bacter	Pyramidobacter
bacter	Pyruvatibacter
bacter	Ramlibacter
bacter	Raoultibacter
bacter	Rarobacter
bacter	Rathayibacter
bacter	Ravibacter
bacter	[Renobacter]
bacter	"Candidatus Repentibacter" corrig.
bacter	Reticulibacter
bacter	Rhabdobacter
bacter	"Rhabdonatronobacter"
bacter	Rhizobacter
bacter	Rhodanobacter
bacter	Rhodobacter
bacter	Rhodocaloribacter
bacter	Rhodohalobacter
bacter	Rivibacter
bacter	Rodentibacter
bacter	Roseinatronobacter
bacter	Roseisolibacter
bacter	Roseobacter
bacter	Rubidibacter
bacter	Rubneribacter
bacter	Rubrobacter
bacter	Rudaibacter
bacter	Rufibacter
bacter	Rugosibacter
bacter	Ruminobacter
bacter	"Ruminofilibacter"
bacter	Sabulibacter
bacter	Sabulilitoribacter
bacter	Saccharibacter
bacter	"Candidatus Saccharibacter"
bacter	Saccharobacter
bacter	Salegentibacter
bacter	Salibacter
bacter	Salicibibacter
bacter	Salifodinibacter
bacter	Salilacibacter
bacter	Salimesophilobacter
bacter	Salinibacter
bacter	"Candidatus Salinibacter"
bacter	Salsipaludibacter
bacter	"Sandaracinobacter"
bacter	Sangeribacter
bacter	Sanguibacter
bacter	Saxeibacter
bacter	"Scatolibacter"
bacter	Sedimentibacter
bacter	Sediminibacter
bacter	Segetibacter
bacter	"Selenihalanaerobacter"
bacter	Serinibacter
bacter	Sessilibacter
bacter	Siccibacter
bacter	Silicibacter
bacter	"Sinanaerobacter"
bacter	Sinisalibacter
bacter	Sinobacter
bacter	Siphonobacter
bacter	"Candidatus Solibacter"
bacter	Specibacter
bacter	"Spelaeibacter"
bacter	Sphaerobacter
bacter	Sphingosinithalassobacter
bacter	Spiribacter
bacter	Spodiobacter
bacter	Spongiibacter
bacter	Sporanaerobacter
bacter	Sporobacter
bacter	Sporohalobacter
bacter	Stenothermobacter
bacter	Stenotrophobacter
bacter	Stenoxybacter
bacter	Steroidobacter
bacter	Stibiobacter
bacter	Subsaxibacter
bacter	"Sufflavibacter"
bacter	"Sulfidibacter"
bacter	Sulfitobacter
bacter	"Candidatus Sulfomarinibacter"
bacter	"Candidatus Sulfopaludibacter"
bacter	"Candidatus Sulfotelmatobacter"
bacter	"Candidatus Sulfuripaludibacter" corrig.
bacter	"Candidatus Sulfuritelmatobacter" corrig.
bacter	"Superficieibacter"
bacter	"Candidatus Symbiobacter"
bacter	Syntrophobacter
bacter	Tahibacter
bacter	Tamilnaduibacter
bacter	"Tardibacter"
bacter	"Taxeobacter"
bacter	"Taxeobacter"
bacter	Tectibacter
bacter	Telluribacter
bacter	Telmatobacter
bacter	Temperatibacter
bacter	Tenebrionibacter
bacter	Tengunoibacter
bacter	"Candidatus Tenuibacter"
bacter	Tepidanaerobacter
bacter	Tepidibacter
bacter	Teredinibacter
bacter	Terrabacter
bacter	Terrimesophilobacter
bacter	Terrisporobacter
bacter	Testudinibacter
bacter	"Candidatus Tethybacter"
bacter	Tetrathiobacter
bacter	Thalassobacter
bacter	"Thalassobacter"
bacter	Thermaerobacter
bacter	Thermoanaerobacter
bacter	"Candidatus Thermochlorobacter"
bacter	Thermoflexibacter
bacter	Thermohalobacter
bacter	Thermolithobacter
bacter	"Candidatus Thermonerobacter"
bacter	Thermophilibacter
bacter	Thermosediminibacter
bacter	Thermosulfidibacter
bacter	Thioalkalibacter
bacter	Thiobacter
bacter	Thiohalobacter
bacter	Thiosulfatihalobacter
bacter	"Tidjanibacter"
bacter	Tractidigestivibacter
bacter	Trichlorobacter
bacter	Tritonibacter
bacter	Tropicibacter
bacter	"Candidatus Turbibacter" corrig.
bacter	Turicibacter
bacter	"Candidatus Udaeobacter"
bacter	Ulvibacter
bacter	Umboniibacter
bacter	Undibacter
bacter	Ursidibacter
bacter	Usitatibacter
bacter	Variibacter
bacter	Variimorphobacter
bacter	"Venatorbacter"
bacter	Verminephrobacter
bacter	Vespertiliibacter
bacter	"Candidatus Viadribacter"
bacter	Vicinamibacter
bacter	"Candidatus Vicinibacter"
bacter	Vineibacter
bacter	Vitellibacter
bacter	Volucribacter
bacter	Vulgatibacter
bacter	"Candidatus Wirthibacter"
bacter	Wukongibacter
bacter	Xanthobacter
bacter	"Candidatus Xiphinematobacter"
bacter	Xylanibacter
bacter	Youngiibacter
bacter	Zeaxanthinibacter
bacter	Zymobacter
bellus	Halobellus
bellus	Maribellus
botulus	Desulfobotulus
botulus	Syntrophobotulus
bulbus	Desulfobulbus
bulbus	"Desulfobulbus"
bulbus	"Candidatus Desulfonatronobulbus"
